epoch,train_loss,test_accuracy
1,1.383417272567749,0.5
2,1.3603409051895141,0.50625
3,1.2459993362426758,0.55
4,0.9943124651908875,0.53125
5,0.8184849321842194,0.8375
6,0.7435860335826874,0.78125
7,0.6292522728443146,0.825
8,0.4897435635328293,0.825
9,0.3904013693332672,0.8625
10,0.2748869687318802,0.91875
11,0.1471751533448696,1.0
12,0.07499715499579906,1.0
13,0.044512444734573366,1.0
14,0.0319477267563343,1.0
15,0.024942849203944205,1.0
16,0.02044853288680315,1.0
17,0.017372131161391736,1.0
18,0.014969870541244745,1.0
19,0.013357155118137598,1.0
20,0.3249947093427181,0.64375
