epoch,train_loss,test_accuracy
1,2.29059858726974,0.1
2,2.2184131099021345,0.4722222222222222
3,1.9790756524894997,0.6138888888888889
4,1.449732503877718,0.7444444444444445
5,0.9569570713766599,0.8388888888888889
6,0.6863499346423165,0.8611111111111112
7,0.5396829979155905,0.8722222222222222
8,0.4409125580419329,0.8944444444444445
9,0.3751343747934037,0.9166666666666666
10,0.3401436300101841,0.9333333333333333
11,0.30461126247585524,0.9166666666666666
12,0.25770856619461924,0.9277777777777778
13,0.2532477417420246,0.925
14,0.22253938225631342,0.9305555555555556
15,0.2066511238251781,0.9472222222222222
16,0.18205083522974158,0.9611111111111111
17,0.1814213993031695,0.9611111111111111
18,0.17399401231698053,0.95
19,0.14422916555122609,0.9666666666666667
20,0.15003258781604828,0.9583333333333334
