epoch,train_loss,test_accuracy
1,1.3720425367355347,0.25
2,1.1817829251289367,0.5
3,0.9091086506843566,0.5
4,0.8386230885982513,0.7625
5,0.7447255909442901,0.75625
6,0.7360109627246857,0.5
7,1.5629104375839233,0.5
8,1.436392593383789,0.31875
9,1.2244901299476623,0.275
10,1.0780887365341187,0.5
11,0.9955590903759003,0.6375
12,0.9210170805454254,0.75625
13,0.8552942395210266,0.75625
14,0.7972327530384063,0.76875
15,0.743601506948471,0.7625
16,0.6882851719856262,0.76875
17,0.6341602087020874,0.75
18,0.5645034790039063,0.775
19,0.4902986496686935,0.8
20,0.42494526505470276,0.79375
