epoch,train_loss,test_accuracy
1,1.3847300291061402,0.35
2,1.3313354134559632,0.5
3,1.173251461982727,0.5125
4,0.8761475205421447,0.51875
5,0.7653104841709137,0.76875
6,0.6743554055690766,0.78125
7,0.5613080412149429,0.825
8,0.4274909824132919,0.89375
9,0.31661163866519926,0.96875
10,0.2644361317157745,0.9875
11,0.15604883879423143,1.0
12,0.09423593133687973,1.0
13,0.064505048468709,0.99375
14,0.04878931008279323,0.9875
15,0.03751196172088385,0.99375
16,0.024778558500111104,1.0
17,0.017550692334771155,1.0
18,0.014428150281310082,1.0
19,0.012274406850337982,1.0
20,0.010495730489492417,1.0
